stageid,traversedpath,address1_composite,address1_addresstypecode,address1_city,address1_country,address1_county,address1_fax,address1_freighttermscode,address1_latitude,address1_longitude,address1_name,address1_telephone1,address1_postofficebox,address1_primarycontactname,address1_stateorprovince,address1_line1,address1_line2,address1_line3,address1_telephone2,address1_telephone3,address1_postalcode,address2_composite,address2_addresstypecode,address2_city,address2_country,address2_county,address2_fax,address2_latitude,address2_longitude,address2_name,address2_postofficebox,address2_primarycontactname,address2_stateorprovince,address2_line1,address2_line2,address2_line3,address2_telephone1,address2_telephone2,address2_telephone3,address2_postalcode,address3_composite,address3_addresstypecode,address3_city,address3_county,address3_fax,address3_latitude,address3_longitude,address3_name,address3_postofficebox,address3_primarycontactname,address3_telephone1,address3_telephone2,address3_telephone3,address3_country,address3_stateorprovince,address3_line1,address3_line2,address3_line3,address3_postalcode,aging30,aging30_base,aging60,aging60_base,aging90,aging90_base,anniversary,annualincome,annualincome_base,assistantname,assistantphone,isbackofficecustomer,birthdate,businesscard,telephone1,business2,businesscardattributes,callback,childrensnames,company,contactid,creditonhold,creditlimit,creditlimit_base,customersizecode,department,description,donotbulkemail,donotbulkpostalmail,donotemail,donotfax,donotpostalmail,donotphone,educationcode,emailaddress1,emailaddress2,emailaddress3,employeeid,entityimage,entityimageid,exchangerate,externaluseridentifier,fax,firstname,followemail,ftpsiteurl,fullname,msdyn_gdproptout,gendercode,governmentid,haschildrencode,telephone2,home2,importsequencenumber,jobtitle,lastusedincampaign,lastname,lastonholdtime,leadsourcecode,managername,managerphone,familystatuscode,marketingonly,merged,middlename,mobilephone,nickname,numberofchildren,msdyn_orgchangestatus,onholdtime,pager,participatesinworkflow,paymenttermscode,preferredappointmentdaycode,preferredcontactmethodcode,preferredappointmenttimecode,processid,customertypecode,accountrolecode,salutation,donotsendmm,shippingmethodcode,spousesname,statuscode,statecode,suffix,teamsfollowed,telephone3,territorycode,timespentbymeonemailandmeetings,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,websiteurl,yomifirstname,yomifullname,yomilastname,yomimiddlename,createdbyexternalparty,transactioncurrencyid,slainvokedid,masterid,modifiedbyexternalparty,originatingleadid,owningbusinessunit,parent_contactid,preferredequipmentid,preferredserviceid,preferredsystemuserid,defaultpricelevelid,slaid
,,"111100 Epping Road
North Ryde NSW 0001
Sydney 0200
Australia",,Sydney,Australia,,,,,,,,,,,111100 Epping Road,North Ryde NSW 0001,,,,0200,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,5/14/1984 12:00:00 AM,,555-0135,,,,,,4da0e5b9-88df-e311-b8e5-6c3be5a8b200,false,,,Default Value,Marketing,,false,false,false,false,false,false,Default Value,brian@blueyonderairlines.com,,,,,,,,,Brian,true,,Brian LaMee,false,Male,,Default Value,,,104,Purchasing Manager,,LaMee,,Default Value,,,,false,false,,,,,No Feedback,,,false,,Thursday,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,0,,6256054,http://blueyonderairlines.com,,Brian LaMee,,,,,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"59, Place de la Madeleine
75011 Paris
France",,Paris,France,,,,,,,,,,,"59, Place de la Madeleine",,,,,75011,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,7/31/1986 12:00:00 AM,,110-239-49,,,,,,e2079c5b-d3b3-e911-a96a-000d3a37fb59,false,,,Default Value,Marketing,,false,false,false,false,false,false,Default Value,bobbi.bourque@contosoautomotives.com,,,,,,0.946765,,,Bobbi,true,,Bobbi Bourque,false,Male,,Default Value,,,,IT Manager,,Bourque,,Default Value,,,Single,false,false,,110-239-49,,,No Feedback,,,false,,Thursday,Email,Morning,00000000-0000-0000-0000-000000000000,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,0,,6256039,,,Bobbi Bourque,,,,ef270b18-0c74-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"41 Farnsworth Street
Boston, MA 02210
United States",,Boston,United States,,,,,,,,,,MA,41 Farnsworth Street,,,,,02210,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,+001 617 443 3000,,,,,,476bcdc6-73aa-e911-a967-000d3a37fb59,false,,,Default Value,Marketing,,false,false,false,false,false,false,Default Value,amandac@GE.com,,,,,,1,,,Amanda,true,,Amanda Coker,false,,,Default Value,,,,Program Manager,,Coker,,Default Value,,,,false,false,,,,,No Feedback,,,false,,Monday,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,6256022,,,Amanda Coker,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"231 NE 22th CT
Redmond, wa 98053
United States",,Redmond,United States,,,,,,,,,,wa,231 NE 22th CT,,,,,98053,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,206-203-3256,,,,,,2a1dceda-bfa9-e911-a967-000d3a37fb59,false,,,Default Value,Accounting,,false,false,false,false,false,false,Default Value,gina@ge.com,,,,,,,,,Gina,true,,Gina White,false,,,Default Value,,,,Manager,,White,,Default Value,,,,false,false,,206-203-3256,,,No Feedback,,,false,,Friday,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,6256018,,,Gina White,,,,,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"Newport Beach, CA
US",,Newport Beach,US,,,,,,"4915 Pear Dr.
Newport Beach, CA
US",,,,CA,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,555-0112,,,,,,41d30950-2499-e911-a964-000d3a37fb59,false,,,Default Value,Marketing,Testing,false,false,false,false,false,false,Default Value,sueburk@margiestravel.com,,,,,,1,,,Susan,true,,Susan Burk,false,,,Default Value,,,,Owner,,Burk,,Default Value,,,,false,false,,555-0112,,,No Feedback,,,false,,Thursday,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,6256016,,,Susan Burk,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,ef975ea3-531c-e511-80d8-3863bb3ce2c8,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"P.O. Box 542000
Omaha, NE 68154
United States",,Omaha,United States,,,,,,,,,,NE,P.O. Box 542000,,,,,68154,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,(800) 392-3673,,,,,,28bdabdd-5598-e911-a964-000d3a37fb59,false,,,Default Value,Sales,,false,false,false,false,false,false,Default Value,mikehsu@ford.com,,,,,,1,,,Mike,true,,Mike Hsu,false,,,Default Value,,,,IT Manager,,Hsu,,Default Value,,,,false,false,,1023987643,,,No Feedback,,,false,,Monday,Any,Morning,00000000-0000-0000-0000-000000000000,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,6256011,,,Mike Hsu,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"Private Mail Bag 5
Campbellfield Victoria 3061
Australia",,Campbellfield,Australia,,,No Charge,,,,,,,Victoria,Private Mail Bag 5,,,,,3061,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,13 3673,,,,,,e906e3a5-5598-e911-a964-000d3a37fb59,false,,,Default Value,Production,,false,false,false,false,false,false,Default Value,trent@ford.com.au,,,,,,1,,,Trent,true,,Trent Cruise,false,,,Default Value,,,,Manager,,Cruise,,Default Value,,,,false,false,,132345,,,No Feedback,,,false,Net 30,Wednesday,Any,Morning,00000000-0000-0000-0000-000000000000,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,6256008,,,Trent Cruise,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"The Canadian Road
Oakville Ontario L6K 0C8
Canada",,Oakville,Canada,,,,,,,,,,Ontario,The Canadian Road,,,,,L6K 0C8,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,1-555-665-0133,,,,,,5ac02340-5498-e911-a964-000d3a37fb59,false,,,Default Value,IT,,false,false,false,false,false,false,Default Value,tracy@ford.ca,,,,,,1,,,Tracy,true,,Tracy Eathely,false,,,Default Value,,,,Manager,,Eathely,,Default Value,,,,false,false,,1-234-234-234,,,No Feedback,,,false,,Tuesday,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,6256005,,,Tracy Eathely,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,203-545-2365,,,,,,c5017bf6-3092-e911-a962-000d3a37fb59,false,,,Default Value,IT,,false,false,false,false,false,false,Default Value,tonylee@ford.com,,,,,,,,,Tony,true,,Tony Lee,false,,,Default Value,,,,IT Manager,,Lee,,Default Value,,,,false,false,,203-545-2365,,,No Feedback,,,false,,Friday,Email,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,6255999,,,Tony Lee,,,,,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"125
Pullman, Washington",,Pullman,,,,,,,,,,,Washington,125,,,,,,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,509-334-6528,,,,,,fec26c20-10d0-e911-a96d-000d3a37fb59,false,,,Default Value,,,false,false,false,false,false,false,Default Value,,,,,,,1,,,Jodi,true,,Jodi Ferell,false,,,Default Value,,,,IT Specialist,,Ferell,,Default Value,,,,false,false,,,,,No Feedback,,,false,,,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,5761713,,,Jodi Ferell,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"3720 15th Ave NE
Seattle 98195",,Seattle,,,,,,,,,,,,3720 15th Ave NE,,,,,98195,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/12/2019 12:00:00 AM,,,,,false,9/19/1977 12:00:00 AM,,206-616-3929,,,,,,73655dbd-78ce-e911-a96d-000d3a37fb59,false,,,Default Value,,,false,false,false,false,false,false,Default Value,dan@uw.edu,,,,,,,,,Dan,true,,Dan white,false,Male,,Default Value,,,,IT Director,,white,,Default Value,,,Married,false,false,,206-616-3923,,,No Feedback,,,false,,,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,0,,5761635,,,Dan white,,,,,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"Columbus, OH 47736
United States",,Columbus,United States,,,,,,,,,,OH,,,,,,47736,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,425 223 4589,,,,,,06b1d317-ddc5-e911-a96d-000d3a37fb59,false,,,Default Value,,interested into purchasing phone devices with services for 5 years,false,false,false,false,false,false,Default Value,ryanking@lg.com,,,,,,1,,,Ryan,true,,Ryan King,false,,,Default Value,,,,sales manager,,King,,Default Value,,,,false,false,,425 223 4589,,,No Feedback,,,false,,,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,5760862,,,Ryan King,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,ecb19631-dcc5-e911-a96d-000d3a37fb59,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"1308 W. Dayton St.
Madison, WI 53715
United States",,Madison,United States,,,,,,,,,,WI,1308 W. Dayton St.,,,,,53715,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,608-262-3961,,,,,,ee5a1f10-7ace-e911-a96d-000d3a37fb59,false,,,Default Value,,,false,false,false,false,false,false,Default Value,Justin@wisc.edu,,,,,,1,,,Justin,true,,Justin Eathly,false,,,Default Value,,,,Director,,Eathly,,Default Value,,,,false,false,,608-262-3988,,,No Feedback,,,false,,,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,5750390,,,Justin Eathly,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"3397 Rancho View Drive
Redmond, WA 72052
US",,Redmond,US,,,,,,,,,,WA,3397 Rancho View Drive,,,,,72052,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,5/21/1973 12:00:00 AM,,407-967-2222,,,,,,55a0e5b9-88df-e311-b8e5-6c3be5a8b200,false,,,Default Value,Administration,,false,false,false,false,false,false,Default Value,evacorets@fabrikam.com,,,,,,,,,Eva,true,,Eva Corets,false,Female,,Default Value,,,104,Purchasing Assistant,,Corets,,Default Value,,,,false,false,,,,,No Feedback,,,false,,Wednesday,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,0,,5238974,,,Eva Corets,,,,,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"One American Road
Dearborn, MI 48126
United States",,Dearborn,United States,,,,,,,,,,MI,One American Road,,,,,48126,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,313-322-3000,,,,,,13210a8e-5498-e911-a964-000d3a37fb59,false,,,Default Value,IT,,false,false,false,false,false,false,Default Value,david@ford.com,,,,,,1,,,David,true,,David Mark,false,,,Default Value,,,,CIO,,Mark,,Default Value,,,,false,false,,313-322-4040,,,No Feedback,,,false,,Thursday,Any,Morning,00000000-0000-0000-0000-000000000000,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,5238972,,,David Mark,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"30 Rockefeller Plaza
New York, NY 10112
United States",,New York,United States,,,,,,,,,,NY,30 Rockefeller Plaza,,,,,10112,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,2345671234,,,,,,6513b4bc-5a98-e911-a964-000d3a37fb59,false,,,Default Value,Purchase,,false,false,false,false,false,false,Default Value,charles@nbc.com,,,,,,1,,,Charles,true,,Charles Lee,false,,,Default Value,,,,IT manager,,Lee,,Default Value,,,,false,false,,423-234-3423,,,No Feedback,,,false,,Wednesday,Any,Morning,00000000-0000-0000-0000-000000000000,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,5238970,,,Charles Lee,,,,480e992f-ff73-e911-a9ba-000d3a33bcb9,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,"Am Euro Platz 0101
A-1111 Vienna
Austria",,Vienna,Austria,,,,,,,,,,,Am Euro Platz 0101,,,,,A-1111,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2/22/1974 12:00:00 AM,,178-854-4566,,,,,,4ba0e5b9-88df-e311-b8e5-6c3be5a8b200,false,,,Default Value,IT,,false,false,false,false,false,false,Default Value,Cathan@alpineskihouse.com,,,,,,,,,Cathan,true,,Cathan Cook,false,Male,,Default Value,,,104,Purchasing Assistant,,Cook,,Default Value,,,,false,false,,178-854-4566,,,No Feedback,,,false,,Monday,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,0,,5238966,,,Cathan Cook,,,,,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,+23 23458734,,,,,,29c3ab35-d8be-e911-a96b-000d3a37fb59,false,,,Default Value,IT,,false,false,false,false,false,false,Default Value,alex@gecas.com,,,,,,,,,Alex,true,,Alex Hung,false,,,Default Value,,,,Manager,,Hung,,Default Value,,,,false,false,,+23 23458734,,,No Feedback,,,false,,Tuesday,Any,Morning,,Default Value,,,false,Default Value,,Ready To Launch,Active,,,,Default Value,,,,5238963,,,Alex Hung,,,,,,,,,def60b71-ee73-e911-a9ba-000d3a33bcb9,,,,,,
